symbol,length,batch_number
FADD,208,141
MRAS,208,141
NOL3,208,141
CDIP1,208,142
HBEGF,208,142
ZFAND6,208,142
CAPSL,208,142
GUCA1C,209,143
COPS8,209,143
METTL5,209,143
MXD4,209,143
CLDN4,209,144
GPX8,209,144
NDUFS8,210,144
EMC8,210,144
AKIP1,210,145
TBC1D28,210,145
RFESD,210,145
BCL7A,210,145
NTF4,210,146
REEP6,211,146
RILPL2,211,146
TIMP3,211,146
BAK1,211,147
CLDN7,211,147
MAD2L2,211,147
BAG2,211,147
NABP2,211,148
SOCS1,211,148
GDNF,211,148
TMEM217,211,148
RAB15,212,149
PLAC1,212,149
RAB43,212,149
DEPP1,212,149
EBAG9,213,150
IGLL1,213,150
TMEM186,213,150
VHL,213,150
H1-10,213,151
EFNA2,213,151
MOSPD1,213,151
CHMP2B,213,151
RPL10,214,152
FAM167A,214,152
CPTP,214,152
N6AMT1,214,152
RPL10L,214,153
RAB5A,215,153
MPZL2,215,153
CSNK2B,215,153
HMGB1,215,154
RAB14,215,154
FAAP24,215,154
RAB5B,215,154
SCN3B,215,155
PPIB,216,155
C8orf82,216,155
RAB5C,216,155
MOB1B,216,156
RFLNA,216,156
DCAF16,216,156
ALG14,216,156
RAN,216,157
MOB1A,216,157
TMED3,217,157
EIF4E,217,157
DUSP19,217,158
GRB2,217,158
COQ7,217,158
BCL7C,217,158
RGS19,217,159
CLTA,218,159
RAB11B,218,159
ATG101,218,159
EIF3K,218,160
GSTM2,218,160
RRAS,218,160
GUK1,218,160
GSTM4,218,161
METTL21A,218,161
CIDEB,219,161
RAB3D,219,161
PSMB9,219,162
MAGEH1,219,162
H1-4,219,162
NUDT5,219,162
PRELID1,219,163
SAP30,220,163
C18orf21,220,163
CD28,220,163
VAMP7,220,164
MXD1,221,164
FAHD1,221,164
SRSF2,221,164
NDFIP1,221,165
IFTAP,221,165
TIRAP,221,165
RP9,221,165
FKBP7,222,166
CHAC1,222,166
GADD45GIP1,222,166
UBE2S,222,166
NUDT14,222,167
GSTA5,222,167
CLTRN,222,167
PGRMC2,223,167
UCHL1,223,168
DNAJB9,223,168
GINS4,223,168
STYX,223,168
CHIC1,224,169
MYOG,224,169
SYNGR2,224,169
ZNF22,224,169
COMMD5,224,170
FGF11,225,170
BCAS2,225,170
PSPH,225,170
SMCO3,225,171
SOCS3,225,171
GRPEL2,225,171
CD79A,226,171
SPCS2,226,172
PSMD10,226,172
UBTD1,227,172
AK3,227,172
TCEAL2,227,173
IDI2,227,173
NAT8,227,173
ZMYND19,227,173
LMO2,227,174
CYB5D1,228,174
THAP2,228,174
RNF114,228,174
RYBP,228,175
CACYBP,228,175
CMPK1,228,175
EFNA5,228,175
SYNGR3,229,176
TMEM182,229,176
CD79B,229,176
RTBDN,229,176
CCDC134,229,177
CWC15,229,177
PAFAH1B2,229,177
BTG4,229,177
RNF141,230,178
FAM3A,230,178
NMRK2,230,178
PXDC1,231,178
KLRC2,231,179
PAFAH1B3,231,179
RNF125,232,179
VTI1B,232,179
MIXL1,232,180
MED7,233,180
BCL10,233,180
BCL2L1,233,180
TNF,233,181
FAM204A,233,181
HOXA6,233,181
CFAP299,233,181
LAT,233,182
RAB20,234,182
XNDC1N,234,182
STARD3NL,234,182
ZBED3,234,183
NKX3-1,234,183
ANTKMT,235,183
RGS18,235,183
RNF187,235,184
CHCHD6,235,184
NAA10,235,184
MOSPD3,235,184
MPZL3,235,185
YIPF6,236,185
FAM177A1,236,185
SERTAD1,236,185
STX8,236,186
EVI2A,236,186
PEMT,236,186
RABL3,236,186
NUDT8,236,187
CDKN2A_CYCS,237,187
REXO2,237,187
LYPLAL1,237,187
RASSF3,238,188
TMBIM4,238,188
CD63,238,188
NUDT7,238,188
ALKBH6,238,189
SRSF7,238,189
SHISA3,238,189
MMD,238,189
EGLN3,239,190
C16orf95,239,190
BCL2,239,190
DIABLO,239,190
TMEM86A,240,191
U2AF1,240,191
ING5,240,191
PDGFB,241,191
HTATIP2,242,192
DKKL1,242,192
HOXC8,242,192
CCDC103,242,192
JAZF1,243,193
CD48,243,193
RSPO2,243,193
N4BP2L1,243,193
CTHRC1,243,194
SYF2,243,194
TPK1,243,194
PDF,243,194
TBCB,244,195
GSTT2B,244,195
YIPF4,244,195
ULBP1,244,195
TSPAN16,244,196
MLX,244,196
KLF9,244,196
RNF138,245,196
METTL27,245,197
SFR1,245,197
YWHAQ,245,197
YWHAZ,245,197
YWHAB,246,198
YWHAH,246,198
TMUB1,246,198
PSMA6,246,198
BRMS1,246,199
MDFI,246,199
BCAP31,246,199
CLIC2,247,199
YWHAG,247,200
ATP6V1D,247,200
FGF14,247,200
GARIN5A,247,200
NSMCE2,247,201
CDKN2C_CD24,248,201
PSMA7,248,201
CNPY4,248,201
PACRGL,248,202
TPM4,248,202
SRSF1,248,202
ING4,248,202
MLF2,248,203
SFN,248,203
MITD1,249,203
RPS6,249,203
ANP32A,249,204
LGALS3,250,204
MMAB,250,204
LIN28B,250,204
MRPL47,250,205
BCL2L12,250,205
TRIM74,250,205
CBX7,251,205
LYPD5,251,206
DERL1,251,206
TAF9B,251,206
NXPH3,252,206
RCAN1,252,207
CDCA5,252,207
MARCHF3,253,207
TSPAN11,253,207
PRNP,253,208
UTP11,253,208
MEOX1,254,208
RAB6D,254,208
EMD,254,209
PSME3,254,209
STX6,255,209
RPL7L1,255,209
YWHAE,255,210
SNRPA1,255,210
ETFB,255,210
DLX1,255,210
FBXO44,255,211
TNFRSF9,255,211
PRTN3,256,211
ENKUR,256,211
MRPL28,256,212
KCNIP3,256,212
ATP5PB,256,212
POU2AF1,256,212
PRDX3,256,213
ARL13A,256,213
PACRG,257,213
GSC,257,213
NR0B2,257,214
C1QL1,258,214
VENTX,258,214
HLA-DPB1,258,214
EIF3J,258,215
SNAP29,258,215
VGLL1,258,215
PGLS,258,215
CISH,258,216
MRPS18B,258,216
KCTD4,259,216
KRCC1,259,216
TYW3,259,217
DCUN1D2,259,217
ASPRV1,259,217
IGFBP1,259,217
CACNG6,260,218
DHRS11,260,218
EAF2,260,218
CCDC127,260,218
IRAK1BP1,260,219
RFXANK,260,219
DCK,260,219
SLA2,261,219
WBP2,261,220
PCNA,261,220
ENOPH1,261,220
RCHY1,261,220
CAVIN3,261,221
HLA-DQB1,261,221
UCK2,261,221
CD40LG,261,221
CA13,262,222
NRM,262,222
C12orf43,262,222
SRSF10,262,222
PRR23C,262,223
GPATCH11,263,223
ITM2A,263,223
NECAP2,263,223
RSPO1,263,224
FSTL3,263,224
OSCAR,263,224
C1orf35,263,224
SRSF3_GGTA1,264,225
TLCD2,264,225
OCEL1,264,225
PSMG2,264,225
SNAI1,264,226
ALYREF,264,226
LENG1,264,226
CYB5D2,264,226
RPS3A,264,227
CA7,264,227
PLPP5,264,227
TAF9,264,227
PQBP1,265,228
AQP5,265,228
CDX1,265,228
