ref_ID,alt_ID,bait_ID,perturbation
HNRPLL_1,HNRPLL_3,TADA2A_ORF2,True
HNRPLL_1,HNRPLL_3,DDX39B,True
HNRPLL_1,HNRPLL_3,RBM10,True
HNRPLL_1,HNRPLL_3,BHLHE40,True
HNRPLL_1,HNRPLL_3,PNMA1,True
HNRPLL_1,HNRPLL_3,SRSF11,True
HNRPLL_1,HNRPLL_3,MAGED1,True
HNRPLL_1,HNRPLL_3,TMCC2,True
HNRPLL_1,HNRPLL_3,DDX39A,True
HNRPLL_1,HNRPLL_3,CALCOCO2,True
HNRPLL_1,HNRPLL_3,SPRY2,True
HNRPLL_1,HNRPLL_3,RBPMS,True
HNRPLL_1,HNRPLL_3,MID2,True
HNRPLL_1,HNRPLL_3,IKZF3,True
HNRPLL_1,HNRPLL_3,ADAMTSL4,True
HNRPLL_1,HNRPLL_3,BANP,True
HNRPLL_1,HNRPLL_3,THAP1,True
YARS_1,YARS_2,REL,True
VPS33B_1,VPS33B_3,TNIP1_ORF2,True
NCK2_1,NCK2_2,LZTS2,True
MXI1_1,MXI1_2,USHBP1,True
PRMT2_1,PRMT2_2,RBM12,True
PRMT2_1,PRMT2_2,WASL,True
PRMT2_1,PRMT2_2,CBLB,True
CXCR3_1,CXCR3_2,FATE1,True
GALT_1,GALT_2,VAC14,True
NDN_1,NDN_3,GOLGA2_ORF1,True
NDN_1,NDN_2,FAM131C,True
GAD1_1,GAD1_3,KRT40,True
GAD1_1,GAD1_3,CMTM5,True
NEFL_1,NEFL_2,TEX11,True
NEFL_1,NEFL_2,GORASP1,True
NEFL_1,NEFL_2,CCDC33,True
NEFL_1,NEFL_2,USHBP1,True
NEFL_1,NEFL_2,KLC3,True
GAD1_1,GAD1_3,MAL2,True
NEFL_1,NEFL_2,C10orf96,True
NPM1_1,NPM1_2,NPM2,True
PRMT2_1,PRMT2_2,ZNF341_ORF1,True
NEFL_1,NEFL_2,MTUS2,True
NEFL_1,NEFL_2,SKIL,True
HSPD1_1,HSPD1_2,CEP70,True
NEFL_1,NEFL_2,GOLGA2_ORF2,True
NDN_1,NDN_3,U2AF1,True
INPP1_1,INPP1_2,LDOC1,True
INPP1_1,INPP1_2,NR1D1,True
NDN_1,NDN_3,TP53,True
NEFL_1,NEFL_2,GOLGA2_ORF1,True
HSPD1_1,HSPD1_4,CEP70,True
NEFL_1,NEFL_2,KRT13,True
PRMT2_1,PRMT2_2,ZNF341_ORF2,True
NEFL_1,NEFL_2,KRT15,True
PRMT2_1,PRMT2_3,ZNF341_ORF2,True
NEFL_1,NEFL_2,KRT18,True
PRMT2_1,PRMT2_3,ZNF341_ORF1,True
NDN_1,NDN_3,NEFL,True
PRMT2_1,PRMT2_3,WASL,True
PRMT2_1,PRMT2_3,CBLB,True
NDN_1,NDN_2,P4HA3,True
GAD1_1,GAD1_3,AGTRAP,True
NDN_1,NDN_2,N6AMT2,True
RNF6_1,RNF6_2,MAGED1,True
RNF6_1,RNF6_2,REL,True
RNF6_1,RNF6_2,TRIM27_ORF1,True
RNF6_1,RNF6_2,TADA2A_ORF2,True
GAD1_1,GAD1_2,KRT31,True
